ID,System,TM,TMA,AverageTip,RST,RSI,RSE,Time,CorrectSteps,TriedSteps,Score
1051502,1,0.02,0.0,0.0,1.0,0.0,0.0,0.13,1.0,0.19,100
1051503,1,0.98,0.0,0.45,0.2,0.6,0.2,0.57,1.0,0.37,76
1051507,1,0.05,0.0,0.05,0.6,0.4,0.0,0.46,1.0,0.19,100
1051515,1,0.02,0.0,0.3,0.2,0.8,0.0,0.43,1.0,0.74,100
1051540,1,0.02,0.0,0.2,0.8,0.0,0.2,0.47,1.0,0.81,100
1051542,1,0.01,0.0,0.1,0.8,0.2,0.0,0.47,1.0,0.63,100
1051544,0,1.0,0.0,0.0,1.0,0.0,0.0,0.25,1.0,0.19,96
1051545,1,0.15,0.0,0.0,0.8,0.2,0.0,0.31,1.0,0.19,100
1051546,0,0.07,0.0,0.05,0.8,0.2,0.0,0.25,1.0,0.33,0
1053315,1,1.0,0.0,0.3,0.2,0.8,0.0,0.74,1.0,0.63,100
1053316,0,0.96,0.0,0.0,1.0,0.0,0.0,0.29,1.0,0.19,100
1053321,1,0.51,0.0,0.2,0.0,1.0,0.0,0.33,1.0,0.19,100
1053324,1,0.09,0.0,0.0,1.0,0.0,0.0,0.22,1.0,0.19,100
1053329,0,0.15,0.0,0.0,0.8,0.2,0.0,0.41,1.0,0.26,100
1053330,1,0.01,0.0,0.2,0.6,0.4,0.0,0.55,1.0,0.19,76
1053333,0,0.01,0.0,0.0,1.0,0.0,0.0,0.38,1.0,0.52,100
1053339,0,0.05,0.0,0.05,0.8,0.2,0.0,0.22,1.0,0.19,100
1053348,0,0.09,0.0,0.0,1.0,0.0,0.0,0.16,1.0,0.33,100
1013319,1,0.08,0.0,0.6,0.4,0.0,0.6,0.61,1.0,0.63,100
1021330,0,0.29,1.0,0.6,0.0,0.6,0.4,0.47,1.0,0.7,100
1021435,1,0.2,0.0,0.6,0.2,0.2,0.6,0.38,1.0,0.56,96
1021520,1,0.18,0.4,0.75,0.2,0.2,0.6,0.42,1.0,0.63,100
1023317,0,0.01,0.0,0.2,0.8,0.0,0.2,0.56,1.0,0.48,100
1031430,0,0.01,0.0,0.0,1.0,0.0,0.0,0.69,1.0,0.19,96
1031444,1,0.15,0.77,1.0,0.0,0.0,1.0,0.26,1.0,0.41,100
1033362,0,1.0,0.72,1.0,0.0,0.0,1.0,0.42,1.0,0.26,88
1041225,1,0.19,0.0,0.15,0.8,0.2,0.0,0.37,1.0,0.56,100
1041416,0,0.28,0.0,0.0,1.0,0.0,0.0,0.5,1.0,0.19,100
1041449,0,0.02,0.51,0.5,0.0,0.8,0.2,0.42,1.0,0.37,100
1041463,1,1.0,0.0,0.1,0.8,0.2,0.0,0.55,1.0,0.48,32
1041563,1,0.97,0.0,1.0,0.0,0.0,1.0,0.48,1.0,0.74,48
1041639,1,0.15,1.0,0.45,0.4,0.2,0.4,0.8,1.0,0.7,100
1042701,1,0.21,0.0,0.8,0.2,0.0,0.8,0.5,1.0,0.59,100
1043363,1,0.6,0.0,0.0,0.8,0.2,0.0,0.3,1.0,0.33,100
1051402,0,1.0,0.0,0.0,1.0,0.0,0.0,0.42,1.0,0.19,100
1051403,0,0.21,0.77,0.0,1.0,0.0,0.0,0.59,1.0,0.74,100
1051405,0,0.01,0.0,0.1,0.8,0.2,0.0,0.35,1.0,0.52,100
1051410,0,0.27,1.0,0.0,1.0,0.0,0.0,0.61,1.0,0.19,100
1051415,0,0.12,1.0,0.25,0.6,0.2,0.2,0.46,1.0,0.19,100
1051417,1,1.0,0.0,0.7,0.0,0.4,0.6,0.7,1.0,0.63,100
1051421,0,0.62,0.0,0.8,0.2,0.0,0.8,0.51,1.0,0.56,96
1051425,1,0.35,0.0,1.0,0.0,0.0,1.0,0.72,1.0,1.0,100
1051438,1,0.57,0.0,0.35,0.0,1.0,0.0,0.6,1.0,0.48,100
1051439,1,0.01,0.0,0.15,0.6,0.4,0.0,0.74,1.0,0.48,100
1051443,0,0.47,0.44,0.2,0.6,0.2,0.2,0.45,1.0,0.19,100
1051444,0,1.0,0.72,0.2,0.8,0.0,0.2,0.66,1.0,0.37,100
